2015-04-18 02:38:36,040 [210] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 2ms)
2015-04-18 02:38:36,068 [210] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-04-18 02:38:36,069 [210] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-04-18 02:38:36,069 [210] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-18 02:38:36,069 [210] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-04-18 02:38:36,441 [210] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 211] Initializing Examine and binding to business logic events
2015-04-18 02:38:36,486 [210] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 211] Adding examine event handlers for index providers: 3
2015-04-18 02:38:36,773 [210] INFO  Umbraco.Web.UmbracoModule - [Thread 222] Setting OriginalRequestUrl: localhost:27664/umbraco
2015-04-18 02:38:38,656 [209] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 213] Application shutdown. Reason: ConfigurationChange
2015-04-18 02:39:37,170 [210] INFO  umbraco.BusinessLogic.Log - [Thread 222] Log scrubbed.  Removed all items older than 2015-02-17 02:39:37
2015-04-18 02:39:38,656 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Determining hash of code files on disk
2015-04-18 02:39:38,656 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Hash determined (took 4ms)
2015-04-18 02:39:38,672 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-04-18 02:39:38,860 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 181ms)
2015-04-18 02:39:38,906 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-04-18 02:39:38,906 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2015-04-18 02:39:38,906 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-04-18 02:39:38,922 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 7ms)
2015-04-18 02:39:38,922 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-04-18 02:39:38,938 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 6ms)
2015-04-18 02:39:38,938 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-04-18 02:39:38,938 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 6ms)
2015-04-18 02:39:38,969 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-04-18 02:39:38,969 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2015-04-18 02:39:38,969 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-18 02:39:38,985 [206] INFO  Umbraco.Core.PluginManager - [Thread 211] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2015-04-18 02:39:39,488 [206] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 211] Initializing Examine and binding to business logic events
2015-04-18 02:39:39,567 [206] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 211] Adding examine event handlers for index providers: 3
2015-04-18 02:39:39,738 [206] INFO  Umbraco.Web.UmbracoModule - [Thread 228] Setting OriginalRequestUrl: localhost:27664/umbraco
2015-04-18 02:39:51,328 [210] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 228] Application shutdown. Reason: ConfigurationChange
2015-04-18 02:40:40,027 [206] INFO  umbraco.BusinessLogic.Log - [Thread 228] Log scrubbed.  Removed all items older than 2015-02-17 02:40:39
2015-04-18 02:42:34,290 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-04-18 02:42:34,306 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 7ms)
2015-04-18 02:42:34,306 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Starting resolution types of umbraco.interfaces.ITree
2015-04-18 02:42:34,306 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 4ms)
2015-04-18 02:42:34,337 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Starting resolution types of umbraco.interfaces.ITree
2015-04-18 02:42:34,337 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 7ms)
2015-04-18 02:42:34,368 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Starting resolution types of umbraco.interfaces.IApplication
2015-04-18 02:42:34,368 [206] INFO  Umbraco.Core.PluginManager - [Thread 219] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 8ms)
2015-04-18 02:50:17,289 [206] INFO  umbraco.content - [Thread 231] Loading content from disk cache...
2015-04-18 02:50:17,331 [206] INFO  Umbraco.Core.PluginManager - [Thread 231] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-04-18 02:50:17,339 [206] INFO  Umbraco.Core.PluginManager - [Thread 231] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 8ms)
2015-04-18 02:50:17,680 [206] INFO  Umbraco.Core.PluginManager - [Thread 231] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-04-18 02:50:17,695 [206] INFO  Umbraco.Core.PluginManager - [Thread 231] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 15ms)
2015-04-18 02:51:28,094 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Determining hash of code files on disk
2015-04-18 02:51:28,110 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Hash determined (took 4ms)
2015-04-18 02:51:28,110 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-04-18 02:51:28,125 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 16ms)
2015-04-18 02:51:28,188 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-04-18 02:51:28,188 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-04-18 02:51:28,188 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-04-18 02:51:28,188 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-04-18 02:51:28,204 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-04-18 02:51:28,204 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
2015-04-18 02:51:28,204 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-04-18 02:51:28,219 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 4ms)
2015-04-18 02:51:28,250 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-04-18 02:51:28,250 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-04-18 02:51:28,250 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-18 02:51:28,250 [201] INFO  Umbraco.Core.PluginManager - [Thread 165] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-04-18 02:51:28,783 [201] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 165] Initializing Examine and binding to business logic events
2015-04-18 02:51:28,861 [201] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 165] Adding examine event handlers for index providers: 3
2015-04-18 02:51:29,173 [201] INFO  Umbraco.Web.UmbracoModule - [Thread 222] Setting OriginalRequestUrl: localhost:27664/umbraco
2015-04-18 02:51:36,208 [206] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 229] Application shutdown. Reason: ConfigurationChange
2015-04-18 02:52:29,638 [201] INFO  umbraco.BusinessLogic.Log - [Thread 223] Log scrubbed.  Removed all items older than 2015-02-17 02:52:29
2015-04-18 02:53:03,763 [201] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 218] Application shutdown. Reason: ConfigurationChange
2015-04-18 02:53:06,141 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Determining hash of code files on disk
2015-04-18 02:53:06,141 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Hash determined (took 4ms)
2015-04-18 02:53:06,157 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-04-18 02:53:06,157 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 10ms)
2015-04-18 02:53:06,219 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
